id,loss
4,1859.7994384765625
6,2295.993896484375
9,9917.03515625
12,5709.736328125
15,1052.96630859375
17,2359.871337890625
21,2491.6728515625
28,1345.73291015625
32,2759.84130859375
43,3129.1435546875
46,2829.535400390625
50,1537.5635986328125
54,1763.1263427734375
62,2480.707763671875
70,2286.110107421875
71,5691.0576171875
75,2112.90234375
77,3488.49951171875
81,2509.022216796875
83,2621.697021484375
87,1938.8687744140625
97,2653.484130859375
103,2096.49951171875
119,1368.4429931640625
120,2010.3201904296875
127,1537.364990234375
138,4826.2919921875
141,2708.48876953125
148,1277.999267578125
150,2700.387451171875
151,2375.494140625
158,1979.9635009765625
160,7007.142578125
165,2823.515869140625
168,4176.99951171875
169,4485.2529296875
177,2945.206787109375
178,3591.671142578125
184,1890.41015625
194,7341.87353515625
198,2078.219482421875
203,5944.31298828125
211,2449.195556640625
217,1462.2117919921875
219,1604.69091796875
221,4000.727294921875
227,2584.0048828125
230,1715.20947265625
235,2079.582275390625
240,1131.662353515625
243,2777.17724609375
249,5942.13525390625
253,2713.1904296875
258,1570.9091796875
261,1859.8631591796875
263,3585.9248046875
264,3127.58935546875
265,4982.08984375
268,2597.478515625
271,2168.4453125
274,5549.98876953125
275,1083.353515625
279,2218.73828125
282,1640.593505859375
286,2853.172607421875
288,1584.1134033203125
294,2671.7177734375
296,1414.40234375
297,1931.6705322265625
300,1059.6363525390625
303,8745.5263671875
314,1685.440185546875
315,4311.51171875
321,2444.23486328125
323,4982.55810546875
330,4798.0400390625
341,1992.8153076171875
342,5511.712890625
352,2056.803955078125
353,3634.1015625
360,7152.7900390625
361,2070.830078125
362,3836.362548828125
366,1472.053955078125
372,3845.87939453125
376,3578.720458984375
377,2793.7265625
379,1610.2742919921875
380,3503.382080078125
387,1854.1925048828125
392,2130.15234375
394,10114.0791015625
395,1793.589599609375
397,1937.4302978515625
407,5720.07177734375
411,7242.9619140625
416,2981.355224609375
417,2066.4541015625
419,3763.036376953125
428,5082.45947265625
431,2252.34326171875
436,6909.38037109375
438,1750.1240234375
445,5942.509765625
446,7639.14208984375
455,1568.806884765625
456,1549.0968017578125
461,1280.087158203125
463,2057.375
464,3703.911376953125
466,2412.935546875
467,2245.036865234375
470,1578.285400390625
475,1740.9302978515625
482,4148.34033203125
490,3583.637939453125
496,2408.5361328125
497,5666.37890625
508,2999.8486328125
510,1950.8023681640625
512,3370.78076171875
513,4182.26416015625
523,2145.47607421875
531,5712.08984375
532,3191.907958984375
533,1732.1263427734375
537,1407.5775146484375
544,4771.62451171875
547,2900.037841796875
556,7479.818359375
565,1696.4605712890625
566,1605.997802734375
571,1717.2225341796875
573,2116.1845703125
574,1090.6954345703125
581,2651.4296875
585,1831.3709716796875
589,2600.23876953125
597,1737.4874267578125
601,3333.255859375
602,2170.90625
613,2139.466796875
616,1687.7576904296875
619,2230.948486328125
622,2250.5234375
623,2782.45947265625
629,1873.5533447265625
634,1830.4306640625
638,1288.843017578125
642,1392.5103759765625
643,2442.45458984375
645,1433.8016357421875
648,7572.0634765625
652,2050.654296875
664,1199.52001953125
666,2541.624755859375
672,1369.9005126953125
676,2612.447021484375
678,4155.59765625
682,2024.393310546875
686,3547.429443359375
688,3368.006103515625
689,1736.8980712890625
690,2447.933837890625
692,8700.984375
695,2093.0029296875
697,5457.36328125
698,2048.731689453125
706,2578.35693359375
708,2101.738037109375
712,3938.52490234375
715,3310.125732421875
717,1707.7154541015625
725,3248.731689453125
729,1251.989990234375
737,1784.4078369140625
739,5152.638671875
747,4047.239501953125
753,2890.267578125
758,2912.52294921875
759,3043.998779296875
763,1750.1971435546875
773,4486.55322265625
774,2487.687744140625
776,2253.335693359375
788,3900.554443359375
790,4215.02099609375
794,1967.298583984375
801,3012.66748046875
802,2304.8359375
805,2244.859130859375
809,5531.009765625
812,2175.47607421875
825,2576.956298828125
828,2249.302001953125
830,2539.2392578125
833,1463.1361083984375
850,4697.56884765625
852,6448.8212890625
862,1778.175537109375
863,1764.390625
864,1866.1328125
865,3217.70458984375
868,5744.45849609375
872,1963.5145263671875
879,6142.5615234375
880,1738.808837890625
883,1686.6644287109375
886,1922.56005859375
923,1790.1090087890625
924,1590.6375732421875
932,1711.430419921875
945,6225.9140625
947,6861.169921875
948,2758.529296875
955,3707.833984375
963,3953.7353515625
979,1896.5482177734375
989,1965.4661865234375
994,2891.4267578125
995,1913.0638427734375
998,2504.719482421875
1000,4959.6650390625
1018,2519.0078125
1019,2802.263427734375
1028,2403.92724609375
1034,1621.1202392578125
1038,2293.79833984375
1040,1931.5631103515625
1042,1507.285888671875
